통계그룹명,통계명,값,시점,단위,날짜,연도,월,연월
시장금리,한국은행 기준금리,2.5,20250710,%,2025-07-10,2025.0,7.0,2025-07
시장금리,콜금리(익일물),2.529,20250710,%,2025-07-10,2025.0,7.0,2025-07
시장금리,KORIBOR(3개월),2.52,20250710,%,2025-07-10,2025.0,7.0,2025-07
시장금리,CD수익률(91일),2.52,20250710,%,2025-07-10,2025.0,7.0,2025-07
시장금리,통안증권수익률(364일),2.277,20250710,%,2025-07-10,2025.0,7.0,2025-07
시장금리,국고채수익률(3년),2.433,20250710,%,2025-07-10,2025.0,7.0,2025-07
시장금리,국고채수익률(5년),2.592,20250710,%,2025-07-10,2025.0,7.0,2025-07
시장금리,"회사채수익률(3년,AA-)",2.928,20250710,%,2025-07-10,2025.0,7.0,2025-07
여수신금리,예금은행 수신금리,2.63,202505,%,2025-05-01,2025.0,5.0,2025-05
여수신금리,예금은행 대출금리,4.17,202505,%,2025-05-01,2025.0,5.0,2025-05
예금/대출금,예금은행총예금(말잔),2092132.5,202504,십억원,2025-04-01,2025.0,4.0,2025-04
예금/대출금,예금은행대출금(말잔),2428477.2,202504,십억원,2025-04-01,2025.0,4.0,2025-04
예금/대출금,가계신용,1928734.5,2025Q1,십억원,,,,
예금/대출금,가계대출연체율,0.5,202504,%,2025-04-01,2025.0,4.0,2025-04
통화량,"M1(협의통화, 평잔)",1284331.6,202504,십억원,2025-04-01,2025.0,4.0,2025-04
통화량,"M2(광의통화, 평잔)",4240955.7,202504,십억원,2025-04-01,2025.0,4.0,2025-04
통화량,Lf(평잔),5793784,202504,십억원,2025-04-01,2025.0,4.0,2025-04
통화량,L(말잔),7261207.1,202504,십억원,2025-04-01,2025.0,4.0,2025-04
환율,원/달러 환율(종가),1370,20250710,원,2025-07-10,2025.0,7.0,2025-07
환율,원/엔(100엔) 환율(매매기준율),939.32,20250711,원,2025-07-11,2025.0,7.0,2025-07
환율,원/유로 환율(매매기준율),1607.1,20250711,원,2025-07-11,2025.0,7.0,2025-07
환율,원/위안 환율(종가),191.06,20250710,원,2025-07-10,2025.0,7.0,2025-07
주식,코스피지수,3183.23,20250710,1980.01.04=100 ,2025-07-10,2025.0,7.0,2025-07
주식,코스닥지수,797.7,20250710,1996.07.01=1000,2025-07-10,2025.0,7.0,2025-07
주식,주식거래대금(KOSPI),169.7,202505,조원,2025-05-01,2025.0,5.0,2025-05
주식,투자자예탁금,69,202506,조원,2025-06-01,2025.0,6.0,2025-06
채권,채권거래대금,158.5,202506,조원,2025-06-01,2025.0,6.0,2025-06
채권,국고채발행액,28502,202504,십억원,2025-04-01,2025.0,4.0,2025-04
성장률,"경제성장률(실질, 계절조정 전기대비)",-0.2,2025Q1,%,,,,
성장률,"민간소비증감률(실질, 계절조정 전기대비)",-0.1,2025Q1,%,,,,
성장률,"설비투자증감률(실질, 계절조정 전기대비)",-0.4,2025Q1,%,,,,
성장률,"건설투자증감률(실질, 계절조정 전기대비)",-3.1,2025Q1,%,,,,
성장률,"재화의 수출 증감률(실질, 계절조정 전기대비)",-1.5,2025Q1,%,,,,
소득,"GDP(명목, 계절조정)",647226.7,2025Q1,십억원,,,,
소득,1인당GNI,36745.4,2024,달러,,,,
GDP대비 비율,총저축률,34.9,2025Q1,%,,,,
GDP대비 비율,국내총투자율,28.9,2025Q1,%,,,,
GDP대비 비율,수출입의 대 GNI 비율,89.6,2024,%,,,,
생산,전산업생산지수,112.5,202505,2020=100,2025-05-01,2025.0,5.0,2025-05
생산,제조업생산지수,110.9,202505,2020=100,2025-05-01,2025.0,5.0,2025-05
생산,제조업출하지수,100.2,202505,2020=100,2025-05-01,2025.0,5.0,2025-05
생산,제조업재고지수,104.6,202505,2020=100,2025-05-01,2025.0,5.0,2025-05
생산,제조업가동률지수,100.8,202505,2020=100,2025-05-01,2025.0,5.0,2025-05
생산,서비스업생산지수,118.3,202505,2020=100,2025-05-01,2025.0,5.0,2025-05
생산,도소매업생산지수,104.4,202505,2020=100,2025-05-01,2025.0,5.0,2025-05
소비,소매판매액지수,101.4,202505,2020=100,2025-05-01,2025.0,5.0,2025-05
소비,개인신용카드사용액,71797010,202504,백만원,2025-04-01,2025.0,4.0,2025-04
소비,자동차판매액지수,112.4,202505,2020=100,2025-05-01,2025.0,5.0,2025-05
투자,설비투자지수,113,202505,2015=100,2025-05-01,2025.0,5.0,2025-05
투자,설비용 기계류내수출하지수,99,202505,2020=100,2025-05-01,2025.0,5.0,2025-05
투자,국내기계수주액,2.9,202505,조원,2025-05-01,2025.0,5.0,2025-05
투자,건설기성액,9.1,202505,조원,2025-05-01,2025.0,5.0,2025-05
투자,건축허가면적,8028.97,202505,천㎡ ,2025-05-01,2025.0,5.0,2025-05
투자,건설수주액,12.1,202505,조원,2025-05-01,2025.0,5.0,2025-05
투자,건축착공면적,6205.2,202505,천㎡ ,2025-05-01,2025.0,5.0,2025-05
경기순환지표,동행지수순환변동치,98.5,202505,2020=100,2025-05-01,2025.0,5.0,2025-05
경기순환지표,선행지수순환변동치,100.9,202505,2020=100,2025-05-01,2025.0,5.0,2025-05
심리지표,전산업 기업심리지수실적,90.2,202506,,2025-06-01,2025.0,6.0,2025-06
심리지표,소비자심리지수,108.7,202506,,2025-06-01,2025.0,6.0,2025-06
심리지표,경제심리지수,92.8,202506,,2025-06-01,2025.0,6.0,2025-06
기업경영지표,제조업매출액증감률,-2.27,2023,%,,,,
기업경영지표,제조업매출액세전순이익률,4.81,2023,%,,,,
기업경영지표,제조업부채비율,75.87,2023,%,,,,
가계,가구당월평균소득,6969.4,2024Q4,천원,,,,
가계,평균소비성향,68.1,2024Q4,%,,,,
소득분배지표,지니계수,0.323,2023,,,,,
소득분배지표,5분위배율,5.72,2023,,,,,
고용,실업률,2.8,202505,%,2025-05-01,2025.0,5.0,2025-05
고용,고용률,63.8,202505,%,2025-05-01,2025.0,5.0,2025-05
고용,경제활동인구,30012,202505,천명 ,2025-05-01,2025.0,5.0,2025-05
고용,취업자수,29160,202505,천명 ,2025-05-01,2025.0,5.0,2025-05
노동,시간당명목임금지수,138.7,2025Q1,2020=100,,,,
노동,노동생산성지수,115.3,2025Q1,2020=100,,,,
노동,단위노동비용지수,121.7,2025Q1,2020=100,,,,
인구,추계인구,51684.6,2025,천명 ,,,,
인구,고령인구비율,20.3,2025,%,,,,
인구,합계출산율,0.75,2024,명 ,,,,
국제수지,경상수지,10141.5,202505,백만달러,2025-05-01,2025.0,5.0,2025-05
국제수지,직접투자(자산),4125.9,202505,백만달러,2025-05-01,2025.0,5.0,2025-05
국제수지,직접투자(부채),321.4,202505,백만달러,2025-05-01,2025.0,5.0,2025-05
국제수지,증권투자(자산),10091.7,202505,백만달러,2025-05-01,2025.0,5.0,2025-05
국제수지,증권투자(부채),12772.1,202505,백만달러,2025-05-01,2025.0,5.0,2025-05
통관수출입,수출금액지수,133.43,202505,2020=100,2025-05-01,2025.0,5.0,2025-05
통관수출입,수입금액지수,128.35,202505,2020=100,2025-05-01,2025.0,5.0,2025-05
통관수출입,순상품교역조건지수,94.5,202505,2020=100,2025-05-01,2025.0,5.0,2025-05
통관수출입,소득교역조건지수,114.8,202505,2020=100,2025-05-01,2025.0,5.0,2025-05
대외채권/채무,외환보유액,410202961,202506,천달러,2025-06-01,2025.0,6.0,2025-06
대외채권/채무,대외채무,683423.2,2025Q1,백만달러,,,,
대외채권/채무,대외채권,1051314.2,2025Q1,백만달러,,,,
소비자/생산자 물가,소비자물가지수,116.31,202506,2020=100,2025-06-01,2025.0,6.0,2025-06
소비자/생산자 물가,농산물 및 석유류제외 소비자물가지수,115.25,202506,2020=100,2025-06-01,2025.0,6.0,2025-06
소비자/생산자 물가,생활물가지수,119.22,202506,2020=100,2025-06-01,2025.0,6.0,2025-06
소비자/생산자 물가,생산자물가지수,119.66,202505,2020=100,2025-05-01,2025.0,5.0,2025-05
수출입 물가,수출물가지수,128.56,202505,2020=100,2025-05-01,2025.0,5.0,2025-05
수출입 물가,수입물가지수,134.63,202505,2020=100,2025-05-01,2025.0,5.0,2025-05
부동산 가격,주택매매가격지수,100,202505,2021.6=100,2025-05-01,2025.0,5.0,2025-05
부동산 가격,주택전세가격지수,100,202505,2021.6=100,2025-05-01,2025.0,5.0,2025-05
부동산 가격,지가변동률(전기대비),0.176,202505,%,2025-05-01,2025.0,5.0,2025-05
국제원자재가격,Duba유(현물),63.61,202505,달러/배럴,2025-05-01,2025.0,5.0,2025-05
국제원자재가격,금,3288.01,202505,달러,2025-05-01,2025.0,5.0,2025-05
